dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m4_proto,F2,aggregate,0,1024,205,0,3,last_round,0.9932329965689254,0.8837119006018249,0.7412152980003883,50,5151,5099,0.8746422891600193,0.892344118884117,0.7290233372813173,0.7531333544342389
cub200,m4_proto,F2,aggregate,0,1024,205,0,4,last_round,0.9932329965689254,0.8837119006018249,0.7412152980003883,50,5151,5099,0.8746422891600193,0.892344118884117,0.7290233372813173,0.7531333544342389
cub200,m4_proto,F2,aggregate,0,1024,205,0,5,last_round,0.9932329965689254,0.8837119006018249,0.7412152980003883,50,5151,5099,0.8746422891600193,0.892344118884117,0.7290233372813173,0.7531333544342389
cub200,m4_proto,F2,aggregate,0,1024,205,0,6,last_round,0.9932329965689254,0.8837119006018249,0.7412152980003883,50,5151,5099,0.8746422891600193,0.892344118884117,0.7290233372813173,0.7531333544342389
cub200,m4_proto,F2,aggregate,0,1024,205,1,0,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,1,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,2,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,3,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,4,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,5,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,1,6,last_round,0.9922428029665025,0.8805707584050039,0.7118842845973417,50,5116,5134,0.8713689809549943,0.8893358069544801,0.6992581366547155,0.7242682644113537
cub200,m4_proto,F2,aggregate,0,1024,205,2,0,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,1,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,2,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,3,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,4,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,5,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,2,6,last_round,0.982236432984457,0.7702152414194299,0.5830909443474889,50,5157,5093,0.7584851704798484,0.7816387041550872,0.5694933952406586,0.5965943636677038
cub200,m4_proto,F2,aggregate,0,1024,205,3,0,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,1,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,2,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,3,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,4,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,5,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,3,6,last_round,0.9886081477251094,0.8497087378640776,0.6633009708737864,50,5150,5100,0.8396538369344775,0.8593655159063304,0.6502072511731825,0.6762093666930749
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,0,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,1,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,2,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,3,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,4,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,5,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
cub200,m4_proto,F2,aggregate,0,1024,205,pooled,6,last_round,0.9894952729949195,0.8497618353261398,0.6668610868085934,200,20574,20426,0.8448058176054719,0.8546188041235487,0.6603730590763355,0.6733019358744232
