dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,2,trajectory,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,3,trajectory,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,4,trajectory,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,5,trajectory,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,6,trajectory,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,0,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,1,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,2,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,3,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,4,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,5,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,0,6,last_round,1.0,1.0,1.0,50,5092,5158,0.99927581626481,1.0,0.99927581626481,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,0,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,1,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,2,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,3,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,4,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,5,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,1,6,last_round,0.9999580056786374,0.9992175273865415,0.9908059467918623,50,5112,5138,0.9979977821203143,0.9997867627039847,0.987792415837075,0.993236955512173
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,0,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,1,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,2,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,3,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,4,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,5,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,2,6,last_round,1.0,1.0,1.0,50,5104,5146,0.99927751827594,1.0,0.99927751827594,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,0,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,1,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,2,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,3,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,4,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,5,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,3,6,last_round,1.0,1.0,1.0,50,5235,5015,0.9992955912011547,1.0,0.9992955912011547,1.0
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,0,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,1,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,2,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,3,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,4,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,5,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
imagenet_r,m8_analytic,F5,aggregate,1,1024,205,pooled,6,last_round,0.9999973706011618,1.0,0.9989777539794578,200,20543,20457,0.9998204474385277,1.0,0.9984378105852244,0.9993671057396368
