dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m4_proto,F2,global,2,1024,205,3,3,trajectory,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,4,trajectory,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,5,trajectory,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,6,trajectory,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,pooled,0,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,1,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,2,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,3,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,4,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,5,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,6,trajectory,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,0,0,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,1,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,2,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,3,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,4,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,5,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,0,6,last_round,0.6736767186423498,0.07117784711388456,0.01170046801872075,50,5128,5122,0.06428855298259817,0.0785598983045249,0.008940238233002265,0.015035473706266886
cifar100,m4_proto,F2,global,2,1024,205,1,0,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,1,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,2,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,3,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,4,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,5,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,1,6,last_round,0.6793258050515126,0.05992217898832685,0.015953307392996108,50,5140,5110,0.05358782437674233,0.06676177900854538,0.012707719755550382,0.019764053097397417
cifar100,m4_proto,F2,global,2,1024,205,2,0,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,1,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,2,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,3,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,4,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,5,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,2,6,last_round,0.6807264614421431,0.06019340832839945,0.009867771857114663,50,5067,5183,0.053800743503739354,0.06709832923235695,0.007332671726964193,0.012988964385461549
cifar100,m4_proto,F2,global,2,1024,205,3,0,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,1,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,2,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,3,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,4,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,5,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,3,6,last_round,0.6842571934917202,0.06893241167434716,0.013248847926267281,50,5208,5042,0.062199053102329496,0.07615356229475874,0.010322622299496388,0.016737707886669263
cifar100,m4_proto,F2,global,2,1024,205,pooled,0,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,1,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,2,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,3,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,4,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,5,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
cifar100,m4_proto,F2,global,2,1024,205,pooled,6,last_round,0.6794557009246663,0.0655697804604975,0.010709244024728618,200,20543,20457,0.06222223332944334,0.06904089638917797,0.009346954767094968,0.01221252804068029
