dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m4_proto,F2,global,0,1024,205,1,2,last_round,0.5839782923334835,0.10803324099722991,0.09319351009101702,50,5054,5196,0.0996042694804111,0.1169178656149312,0.08531665385039332,0.10154374821351533
imagenet_r,m4_proto,F2,global,0,1024,205,1,3,last_round,0.5839782923334835,0.10803324099722991,0.09319351009101702,50,5054,5196,0.0996042694804111,0.1169178656149312,0.08531665385039332,0.10154374821351533
imagenet_r,m4_proto,F2,global,0,1024,205,1,4,last_round,0.5839782923334835,0.10803324099722991,0.09319351009101702,50,5054,5196,0.0996042694804111,0.1169178656149312,0.08531665385039332,0.10154374821351533
imagenet_r,m4_proto,F2,global,0,1024,205,1,5,last_round,0.5839782923334835,0.10803324099722991,0.09319351009101702,50,5054,5196,0.0996042694804111,0.1169178656149312,0.08531665385039332,0.10154374821351533
imagenet_r,m4_proto,F2,global,0,1024,205,1,6,last_round,0.5839782923334835,0.10803324099722991,0.09319351009101702,50,5054,5196,0.0996042694804111,0.1169178656149312,0.08531665385039332,0.10154374821351533
imagenet_r,m4_proto,F2,global,0,1024,205,2,0,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,1,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,2,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,3,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,4,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,5,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,2,6,last_round,0.5911851339695654,0.11027278003482298,0.093828593538402,50,5169,5081,0.10185885626129859,0.11912954443799963,0.08601376247384587,0.10210545081634194
imagenet_r,m4_proto,F2,global,0,1024,205,3,0,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,1,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,2,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,3,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,4,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,5,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,3,6,last_round,0.5854759429363556,0.11132437619961612,0.0892514395393474,50,5210,5040,0.10290713032722786,0.12017974152787174,0.08164547220105857,0.097321099659609
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,0,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,1,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,2,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,3,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,4,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,5,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
imagenet_r,m4_proto,F2,global,0,1024,205,pooled,6,last_round,0.5849803014086378,0.10464044998302865,0.08272317315618484,200,20623,20377,0.1004946019379257,0.10889811465121602,0.07899838748573046,0.08656607375045072
